timestamp,open,high,low,close,volume
2020-12-28,1751.6350,1790.7276,1746.3350,1776.0900,1390962
2020-12-24,1735.0000,1746.0000,1729.1100,1738.8500,346753
2020-12-23,1728.1100,1747.9900,1725.0400,1732.3800,1033917
2020-12-22,1734.4300,1737.4050,1712.5750,1723.5000,938346
2020-12-21,1713.5100,1740.8500,1699.0000,1739.3700,1828378
2020-12-18,1754.1800,1755.1100,1720.2200,1731.0100,4016353
2020-12-17,1768.5100,1771.7836,1738.6600,1747.9000,1624744
2020-12-16,1772.8800,1773.0000,1756.0800,1763.0000,1513543
2020-12-15,1764.4200,1771.4200,1749.9500,1767.7700,1482261
2020-12-14,1775.0000,1797.3900,1757.2150,1760.0600,1600173
2020-12-11,1763.0600,1784.4500,1760.0000,1781.7700,1220651
2020-12-10,1769.8000,1781.3100,1740.3200,1775.3300,1362848
2020-12-09,1812.0100,1834.2700,1767.8100,1784.1300,1507558
2020-12-08,1810.1000,1821.9000,1796.2047,1818.5500,1096319
2020-12-07,1819.0000,1832.3700,1805.7800,1819.4800,1320946
2020-12-04,1824.5200,1833.1600,1816.9900,1827.9900,1378166
2020-12-03,1824.0100,1847.2000,1822.6500,1826.7700,1227298
2020-12-02,1798.1000,1835.6500,1789.4725,1827.9500,1222032
2020-12-01,1774.3700,1824.8300,1769.3700,1798.1000,1693593
2020-11-30,1781.1844,1788.0650,1755.0000,1760.7400,1823836
2020-11-27,1773.0900,1804.0000,1772.4400,1793.1900,884916
2020-11-25,1772.8900,1778.5400,1756.5400,1771.4300,1046122
2020-11-24,1730.5000,1771.6000,1727.6900,1768.8800,1491698
2020-11-23,1749.6000,1753.9000,1717.7200,1734.8600,2161975
2020-11-20,1765.2100,1774.0000,1741.8600,1742.1900,2313655
2020-11-19,1738.3800,1769.5897,1737.0050,1763.9200,1249910
2020-11-18,1765.2300,1773.4700,1746.1400,1746.7800,1173466
2020-11-17,1776.9400,1785.0000,1767.0000,1770.1500,1147114
2020-11-16,1771.7000,1799.0700,1767.6900,1781.3800,1246785
2020-11-13,1757.6300,1781.0400,1744.5500,1777.0200,1500574
2020-11-12,1747.6300,1768.2700,1745.6000,1749.8400,1248754
2020-11-11,1750.0000,1764.2200,1747.3650,1752.7100,1263966
2020-11-10,1731.0900,1763.0000,1717.3000,1740.3900,2636142
2020-11-09,1790.9000,1818.0600,1760.0200,1763.0000,2268270
2020-11-06,1753.9500,1772.4300,1740.3500,1761.7500,1661225
2020-11-05,1781.0000,1793.6400,1750.5100,1763.3700,2065812
2020-11-04,1710.2800,1771.3650,1706.0301,1749.1300,3570927
2020-11-03,1631.7800,1661.7000,1616.6201,1650.2100,1661653
2020-11-02,1628.1600,1660.7700,1616.0300,1626.0300,2535446
2020-10-30,1672.1100,1687.0000,1604.4600,1621.0100,4330862
2020-10-29,1522.3600,1593.7100,1522.2400,1567.2400,2003064
2020-10-28,1559.7400,1561.3500,1514.6200,1516.6200,1833959
2020-10-27,1595.6700,1606.8450,1582.7800,1604.2600,1229002
2020-10-26,1625.0100,1638.2400,1576.5000,1590.4500,1853254
2020-10-23,1626.0700,1642.3600,1620.5100,1641.0000,1375844
2020-10-22,1593.0500,1621.9900,1585.0000,1615.3300,1434042
